Time,wht_CumulativeDeaths,wht_population,wht_deaths,wht_death_pctof_racepop,blk_CumulativeDeaths,blk_population,blk_deaths,blk_death_pctof_racepop,ltn_CumulativeDeaths,ltn_population,ltn_deaths,ltn_death_pctof_racepop,asn_CumulativeDeaths,asn_population,asn_deaths,asn_death_pctof_racepop,tier_status,tier_decrease,tier_increase
07-Aug-2020,15,354423,0.285714285714286,8.0613923395007e-05,9,43782,0,0,18,133314,0.428571428571429,0.000321475185330444,30,298108,0.142857142857143,4.79212711021317e-05,5,0,0
08-Aug-2020,15,354423,0.285714285714286,8.0613923395007e-05,9,43782,0,0,18,133314,0.428571428571429,0.000321475185330444,30,298108,0.142857142857143,4.79212711021317e-05,5,0,0
09-Aug-2020,15,354423,0.285714285714286,8.0613923395007e-05,9,43782,0,0,19,133314,0.571428571428571,0.000428633580440592,30,298108,0,0,5,0,0
10-Aug-2020,16,354423,0.285714285714286,8.0613923395007e-05,9,43782,0,0,20,133314,0.714285714285714,0.000535791975550741,30,298108,0,0,5,0,0
11-Aug-2020,16,354423,0.142857142857143,4.03069616975035e-05,9,43782,0,0,20,133314,0.571428571428571,0.000428633580440592,30,298108,0.142857142857143,4.79212711021317e-05,5,0,0
12-Aug-2020,16,354423,0.285714285714286,8.0613923395007e-05,9,43782,0,0,21,133314,0.714285714285714,0.000535791975550741,30,298108,0.142857142857143,4.79212711021317e-05,5,0,0
13-Aug-2020,16,354423,0.285714285714286,8.0613923395007e-05,9,43782,0,0,22,133314,0.571428571428571,0.000428633580440592,30,298108,0.142857142857143,4.79212711021317e-05,5,0,0
14-Aug-2020,16,354423,0.142857142857143,4.03069616975035e-05,9,43782,0,0,22,133314,0.428571428571429,0.000321475185330444,31,298108,0.142857142857143,4.79212711021317e-05,5,0,0
15-Aug-2020,17,354423,0.142857142857143,4.03069616975035e-05,9,43782,0,0,23,133314,0.428571428571429,0.000321475185330444,31,298108,0.142857142857143,4.79212711021317e-05,5,0,0
16-Aug-2020,17,354423,0.142857142857143,4.03069616975035e-05,9,43782,0,0,23,133314,0.285714285714286,0.000214316790220296,31,298108,0.142857142857143,4.79212711021317e-05,5,0,0
17-Aug-2020,17,354423,0.142857142857143,4.03069616975035e-05,9,43782,0,0,23,133314,0.285714285714286,0.000214316790220296,31,298108,0.142857142857143,4.79212711021317e-05,5,0,0
